IEEE,DOI,NAME OF JOURNAL,PUBLICATION YEAR,LEVEL
"When the IoT smart devices share data with other devices, potential security issues arise such as data leakage, modification, integrity, and unauthorized access.5 Hence, it is essential that such shared data be ensured confidentiality, integrity, and access control while sharing at the edge. Furthermore, a secure data-searching technique is needed to search and retrieve the shared data by authorized devices.",10.1109/MCC.2017.9,Secure Data Sharing and Searching at the Edge of Cloud-Assisted Internet of Things,15 March 2017,0
It means that the cloud provider should get separate consent from a user before collecting the data and before processing that data and customers should have the freedom to withdraw their consent easily and without any harm in terms of efforts and funds.,https://doi.org/10.1109/CSNT.2015.141,Efficient Framework Approach to Extract Privacy Issues in Cloud Computing,1 October 2015,0
"The vehicles embedded with sensing devices, cameras, GPS devices etc. in onboard unit. If there is any malicious activity on the road then the vehicle to nearby vehicle and to the vehicular cloud regarding speed, location and direction of the victim. It also provide the information regarding road hazard ahead, road conditions, speed breakers, weather conditions etc.",https://doi.org/10.1109/NGCT.2015.7375084,A survey on Vehicular Cloud Computing and its security,11 January 2016,0
"While collecting metrics about memory access for running applications like virtual machines or containers is usually due to performance degradation not possible, the resulting shortcomings like page faults or page errors are collectable.",https://doi.org/10.1109/CLOUD.2018.00093,Reviewing Cloud Monitoring: Towards Cloud Resource Profiling,11 September 2018,0
"In the suggested system, multifactor authentication for user login to the cloud, homomorphic encryption for data storage with integrity verification, and integrity verification have all been implemented effectively. To illustrate the efficacy of the proposed strategy, an experimental investigation was conducted.",https://doi.org/10.1109/ICIPTM54933.2022.9753956,Scalable and Adaptable End-To-End Collection and Analysis of Cloud Computing Security Data: Towards End-To-End Security in Cloud Computing Systems,18 April 2022,0
Cloud controller constructs elastic dependency graph in runtime with a high-level view of metrics in service user perspective as well as cloud controller perspective. This graph helps in resolving conflicts between elasticity requirements of same and different abstraction levels too.,https://doi.org/10.1109/ICPCSI.2017.8391816,The role of cloud computing infrastructure elasticity in energy efficient management of datacenters,21 June 2018,0
"While data integrity and distributed storage/access of blockchain offer opportunities for healthcare data management, these same features also pose challenges that need further study.21",10.1109/MCC.2018.011791712,Blockchain: A Panacea for Healthcare Cloud-Based Data Security and Privacy?,28 March 2018,0
"The workload the application experiences substantially affects its development after decomposition. Logical application components are commonly grouped and assigned to multiple tiers - for example, to multiple virtual servers.",https://doi.org/10.1109/MIC.2014.101,Your Coffee Shop Uses Cloud Computing,28 August 2014,0
"For profiling a virtual workload, it is further important to subtract the hardware specifics from the monitoring data, to generate a comparable profile for heterogeneous physical set ups.",https://doi.org/10.1109/CLOUD.2018.00093,Reviewing Cloud Monitoring: Towards Cloud Resource Profiling,11 September 2018,0
"The Internet of Things (IoT) represents a paradigm for a smart world in which ubiquitous and pervasive computing and communication occur over a global network of heterogeneous and interconnected entities. The key enabling technologies for IoT are wireless sensor networks (WSN), machine-to-machine interfaces (M2M), RFID, and embedded sensor and actuator designs that enable sensing, command/control interaction, data communication/transfer, and limited analytical services.’ The main application areas that are being disrupted through the enabling of IoT include power systems and smart grid, e-health and assisted living systems, and large-scale industrial and environmental monitoring applications.1, 2 With the advent of constant Internet connectivity coupled with ubiquitous sensing, these applications are now producing vast amounts of data that have to be communicated, stored, processed, and analyzed in a secure and efficient manner to reach the targeted levels of smart functionality envisioned through the IoT.",10.1109/MCC.2016.30,Secure Data Analytics for Cloud-Integrated Internet of Things Applications,25 May 2016,0
"What is a Service, and when is a Service a Microservice? Good question. When using a service, we leverage a remote method or behavior versus simply extracting or publishing information to a remote system. Moreover, we typically abstract this remote service into another application known as a composite application, which is usually made up of more than one service.",10.1109/MCC.2016.114,Practical Use of Microservices in Moving Workloads to the Cloud,11 November 2016,0
"While there are several public clouds on the market, Google Apps (example of SaaS, includes Google Mail, Docs, Sites, Calendar, etc), Google App Engine [6] (example of PaaS, provides elastic platform for Java and Python applications) and Amazon EC2 (example of IaaS) are probably most known and widely used.",https://doi.org/10.1109/CCGRID.2010.56,SciCloud: Scientific Computing on the Cloud,24 June 2010,0
"deep learning doesn't exhibit massive parallelism due to stochastic gradient descent using small mini-batches of training data, but deep learning does use small accelerator enhanced HPC clusters. If this were to change, this would have important implications for Deep learning on HPC platforms.",https://doi.org/10.1109/CLOUD.2017.120,"Conceptualizing a Computing Platform for Science Beyond 2020: To Cloudify HPC, or HPCify Clouds?",11 September 2017,0
"With node-based availability, the customer knows the availability of resources such as servers or middle-ware deployments that host the application components as an uptime percentage.",https://doi.org/10.1109/MIC.2014.101,Your Coffee Shop Uses Cloud Computing,28 August 2014,0
"The technologies used in cloud hide the internal details of technologies used for implementation of services and there management. It is the duty of provider to provide the security to the data, as the user can't secure its data at the level of hardware.",https://doi.org/10.1109/ICIPTM54933.2022.9753956,Scalable and Adaptable End-To-End Collection and Analysis of Cloud Computing Security Data: Towards End-To-End Security in Cloud Computing Systems,18 April 2022,0
"In order to capitalize on the emerging architectural advancements and enhance the functionality of centralized data centers, it is imperative to identify applications that exhibit higher energy efficiency when deployed on nano servers. Consequently, these identified applications can be effectively executed on this platform. Furthermore, the utilization of the nano platform for running certain applications not only contributes to energy conservation but also presents an opportunity to reduce the energy consumption within data centers dedicated to serving these applications.",https://doi.org/10.1109/ICAC3N60023.2023.10541395,A Survey on Energy efficiency in Cloud Computing Frameworks at Different Platforms,5 June 2024,0
"Components assigned to a single tier are more tightly integrated than those assigned to different tiers. Component interaction between tiers thus commonly requires some serialization and deserialization of data and interaction via a network, whereas communication within a tier can omit these steps, resulting in higher performance.",https://doi.org/10.1109/MIC.2014.101,Your Coffee Shop Uses Cloud Computing,28 August 2014,0
"The collection of resource utilisation for each virtual machine or container, besides the usually considered metrics have to gain focus (cf. Table I). For CPU, the CPU scheduler statistics are important to consider the CPU cycles stolen by other load due to overbooking.",https://doi.org/10.1109/CLOUD.2018.00093,Reviewing Cloud Monitoring: Towards Cloud Resource Profiling,11 September 2018,0
"A given sensor network1 consists of tiny sensing devices deployed within an area of interest, such as a forest, within a building or along a motor-way, to measure certain environmental factors, such as temperature, humidity, vibrations, pollution and so on. Such devices are typically only capable of computing simple tasks on the collected data, such as simple aggregation and filtering operations, and sending the collected information to base stations using short-range wireless communications. These base stations are more powerful computing devices, with a rechargeable battery and a stable wired connection to a centralized remote server in charge of collecting all data, performing complex analytics, and presenting the results using visualization (see Figure 1).",10.1109/MCC.2017.30,Challenges of Connecting Edge and Cloud Computing: A Security and Forensic Perspective,26 April 2017,0
"With the rise of Internet of Things (IoT) technology, it is anticipated that large-scale sensor-based systems will permeate society, calling for novel methodologies to design, test, and operate these systems. IoT relies on networked, interconnected physical devices that often feature computational capabilities.1 The sheer number of these interconnected devices plays a key role in the IoT revolution. For example, Gartner research predicts that IoT will connect up to 50 to 100 billion devices by 2020.2 It is estimated that IoT will generate ∼1.7 trillion US dollars by this time, with an approximate growth rate of 20% year over year.",10.1109/MCC.2017.18,Modelling and Simulation Challenges in Internet of Things,15 March 2017,0
"Cloud storage services enable users to outsource their data to cloud servers and access that data remotely over the Internet. These services give users an efficient and flexible way to manage their data without deploying and maintaining local storage devices and services.1–​4 Specifically, users can process their data on their PCs, outsource the processed data to cloud servers, and use the data on other devices (for example, mobile phones). The great convenience provided by such services is leading to a growing number of cloud storage providers.",10.1109/MCC.2016.94,Cryptographic Public Verification of Data Integrity for Cloud Storage Systems,11 November 2016,0
"There are several ways in which computational capability and data storage facilities are provided to users. Users search for resources based on a variety of characteristics and provide access to large pool of data and computational resources through a variety of interfaces [9], [10]. Cloud Database Management system (CDBMS) is a distributed database that delivers computing as a service instead of product.",https://doi.org/10.1109/CCAA.2015.7148468,Study on cloud computing and cloud database,6 July 2015,0
"There have been several concerted efforts by cloud service providers to prevent their services from being criminally exploited. For example, Dropbox has implemented a child abuse material detection software, whose details are not publically available, which allows searching within the files stored on Dropbox to identify breaches of the Terms of Use and Acceptable Use Policy. Similarly, Microsoft's PhotoDNA is designed to identify child abuse materials from the files stored by companies on their servers, and used in its cloud storage product.",10.1109/MCC.2017.39,Evidence and Forensics in the Cloud: Challenges and Future Research Directions,29 June 2017,0
"Distributed denial of service (DDoS) attacks have been a nightmare for enterprise operations, availability, and security. After the emergence of modern computing paradigms like cloud computing, these attacks saw major changes in scale, methods, aims, and targets. The advantages provided by cloud computing are available to both victims and the attackers. This has made the DDoS arms race interesting and quite complex.1 In 2004, the peak attack bandwidth was just 8 gigabits per second (Gbps). However, according to the report by Arbor Networks, there were much heavier DDoS attacks with attack bandwidths of more than 500 Gbps in 2015.2 The target services of DDoS attacks lie in each sector influenced by IT infrastructure, whether its government, banking, or media industry.",10.1109/MCC.2017.14,"Combating DDoS Attacks in the Cloud: Requirements, Trends, and Future Directions",15 March 2017,0
"Cloud computing adoption in HLIT brings many security, policy, technological and economic challenges that need to be solved. This challenges need to be addressed before cloud adoption to an institution. Clear design and use of well-known best procedures, and practices is very important to ensure cost effectiveness of cloud operations.",https://doi.org/10.1109/SCAT.2014.7055151,Road map towards eco-efficient cloud computing adoption in higher learning institutions in Tanzania,5 March 2015,0
"Hybrid cloud is a mixture of private and public cloud models that concentrate on the drawbacks of both models. In a hybrid cloud, one part of service infrastructure run in private cloud while another part runs in public cloud. Particularly, it provides tighter control and security over application data compared to public clouds, while still facilitating on-demand service expansion and contraction.",https://doi.org/10.1109/CCAA.2015.7148468,Study on cloud computing and cloud database,6 July 2015,0
"The cloud computing paradigm provides a vision of IT where resources are consumed and leased on demand and on a pay-per-use basis. The immense benefits of the cloud in terms of flexibility, resource consumption, and simplified management, make it the first choice of users and industries for deploying their IT architecture, and for service provisioning and procurement. However, the benefits of the cloud are not free. Cloud computing raises several concerns due to lack of trust and transparency, while customers need guarantees on cloud services nonfunctional properties (such as security, privacy).1 Unfortunately, many cloud service providers still fail to provide complete transparency regarding the security and privacy compliance measures they have in place to protect their customers' sensitive information and intellectual property. Of course, cloud providers have deployed security controls to prevent attacks and unauthorized activities. Information about such controls' operation and their effectiveness is rarely made available to customers. Therefore, cloud users do not have access to all security intelligence and log information on potential threat vectors, which impairs their ability to estimate risks.",10.1109/MCC.2017.51,Towards Transparent and Trustworthy Cloud,29 June 2017,0
"In standard cloud computing, dedicated hardware is replaced by dynamically allocated, pay-per-use resources, such as virtual servers. Although called “pay-per-use,” these resources are typically billed based on allocation, not on actual use, potentially leading to a customer paying more than necessary. In “serverless,” no resources are typically allocated or chargeable until a function is called. It's like the difference between a rental car and a taxi: you will be charged for the rental car even if you park it for a week, unlike a taxi. Moreover, some cloud providers are offering seemingly massive amounts of serverless computing at no charge. This holds the promise of the most efficient processing possible—for free or at least what seem to be attractive prices. Moreover, serverless fits with the modern approach to application construction—composing microservices rather than building hard-to-manage and scale monolithic applications.",10.1109/MCC.2017.32,"Be Wary of the Economics of ""Serverless"" Cloud Computing",26 April 2017,0
"Consolidation can be defined as establishing multiple data centers for the applications on one server using virtual techniques. It also administers balancing burden on nodes and decease usage of electricity and provides high available servers to users. Many researchers gave the idea about Dynamic Voltage Frequency Scaling consolidation, gateway based techniques on IaaS platform, living issues of consolidating imaginary servers.",https://doi.org/10.1109/ICICICT54557.2022.9917654,Energy Savings using Green Cloud Computing,18 October 2022,0
"This work can be focused in two major tracks in future and are cloud computing in terms of minimal economy and real-time end user objectives. The second scope can be achieved in proper business plans and the decisions of IT Management to follow the right path. To design this Innovation Diffusion Theory (IDT) will be suitable tools that contributes to understanding the adoption process of organizations. To the overall, the privacy and security concerns defined here must be discovered more functionally through the field research that investigates the perceptions of organizations after adopting cloud computing and how they evaluate such experience",https://doi.org/10.1109/I-SMAC.2017.8058278,Research opportunities and challenges of security concerns associated with big data in cloud computing,5 October 2017,0
"Physical deployment is composed of two workstations: one is called the management node (process resources provisioning and user activity), and the other is called the computation node (carries the VMs, does computation tasks for the processing engine of the hypervisor).",https://doi.org/10.1109/CCAA.2015.7148478,Virtual computing lab (VCL) open cloud deployment,6 July 2015,0
"In a server farm with thousands of servers, the amount of resource statistics sums up to a reasonable data size quickly. Existing monitoring solutions typically measure resource utilization values like CPU counters or disk operation counters periodically and transmit them over network with push or pull to central monitoring data sinks.",https://doi.org/10.1109/CLOUD.2018.00093,Reviewing Cloud Monitoring: Towards Cloud Resource Profiling,11 September 2018,0
"Cloud computing offers a new way to deliver services by rearranging resources over the Internet and providing them to users on demand. It plays an important role in supporting data storage, processing, and management in the Internet of Things (IoT). Various cloud service providers (CSPs) offer huge volumes of storage to maintain and manage IoT data, which can include videos, photos, and personal health records. These CSPs provide desirable service properties, such as scalability, elasticity, fault tolerance, and pay per use. Thus, cloud computing has become a promising service paradigm to support IoT applications and IoT system deployment.",10.1109/MCC.2016.29,Encrypted Data Management with Deduplication in Cloud Computing,25 May 2016,0
Xen is a Virtual Machine Monitor (VMM) originally developed at the University of Cambridge. It represents a popular target for scientific research. It requires the guest OSs to be modified as it is considered a para-virtualization solution. Xen supports live migration.,https://doi.org/10.1109/NCCA.2011.28,A Comparative Study of the Current Cloud Computing Technologies and Offers,9 January 2012,0
"The capability provided to the consumer is to deploy onto the cloud infrastructure consumer-created applications using programming languages and tools supported by the provider (e.g., java, python,. Net).",https://doi.org/10.1109/ICEEOT.2016.7755626,Cloud computing security analysis: Challenges and possible solutions,24 November 2016,0
"Cloud computing provides organizations and individuals with a cost-effective utility, empowering businesses by delivering software and services over the Internet to a large user base. According to an IHS report, worldwide spending for cloud infrastructure and services reached an estimated",10.1109/MCC.2015.45,"Security and Privacy in Cloud Computing: Vision, Trends, and Challenges",2 June 2015,0
"Sensor networks offer economically viable solutions for a variety of applications. For example, current implementations monitor factory instrumentation, pollution levels, free- way traffic, and the structural integrity of buildings.",https://doi.org/10.1109/CSA.2013.166,Mobile Sensor Cloud Computing: Controlling and Securing Data Processing over Smart Environment through Mobile Sensor Cloud Computing (MSCC),19 June 2014,0
"Environment-based availability. A cloud provider guarantees that the environment hosting individual nodes, such as virtual servers or hosted application components, will be available.",https://doi.org/10.1109/MIC.2014.101,Your Coffee Shop Uses Cloud Computing,28 August 2014,0
"Simulations tend to need high precision and very accurate results (partly because of differential operators), however, data-intensive problems often don't need high accuracy as seen in trend to low precision (16 or 32 bit) deep learning networks, as there are no derivatives and the data has inevitable errors.",https://doi.org/10.1109/CLOUD.2017.120,"Conceptualizing a Computing Platform for Science Beyond 2020: To Cloudify HPC, or HPCify Clouds?",11 September 2017,0
"Community cloud allows sharing of computing infrastructure in between organizations of the same society. For example all administrative organization within Haryana, India may share computing infrastructure on the cloud to manage data related to general public residing in India.",https://doi.org/10.1109/CCAA.2015.7148468,Study on cloud computing and cloud database,6 July 2015,0
"In [14], the authors intended to combine automatic license plate recognition technology and geographic information of street surveillance cameras to recover the trajectory of a vehicle given its license plate number. We have implemented this concept on the proposed PaaS. Ideally, such system may greatly simplify and accelerate the process of investigating certain security problems, e.g. searching for stolen cars. However, its success is also heavily dependent on some factors, such as the density and image quality offered by the cameras.",https://doi.org/10.1109/iThings.2014.59,City Eyes: An Unified Computational Framework for Intelligent Video Surveillance in Cloud Environment,16 March 2015,0
The problem solving ontology provides a set of off the shelf concepts and ontological components that have been designed and refined over a number of years. The pricing process can be seen as a problem solving exercise and thus fits into the problem solving ontology.,https://doi.org/10.1109/CloudCom.2013.139,Pricing Intelligence as a Service for Cloud Computing,6 March 2014,0
"Zaghdoudi et al. proposed a mobile cloud architecture based on MANET (Mobile Ad hoc Network) to dynamically manage mobile nodes [15], allowing mobile nodes to partition and execute computationally intensive tasks, but this architecture needed to be further lightweight.",https://doi.org/10.1109/CIACT.2018.8480365,"Mobile Cloud Computing: the State of Art, Application Scenarios and Challenges",4 October 2018,0
"In a cloud environment, tiers can commonly scale independently. Therefore, an IT architect should consider the workload that components experience to ensure that those within a tier experience similar workload when logical components are summarized to tiers.",https://doi.org/10.1109/MIC.2014.101,Your Coffee Shop Uses Cloud Computing,28 August 2014,0
"Modern data sinks are time series database (TSDB) systems like InfluxDB or Prometheus, which are specialized for horizontal scalability and to manage time based monitoring data.",https://doi.org/10.1109/CLOUD.2018.00093,Reviewing Cloud Monitoring: Towards Cloud Resource Profiling,11 September 2018,0
"A microservices-based cloud application involves the interoperation of multiple microservices, each developed separately, that can be deployed, updated, and redeployed independently without compromising the application's ecosystem's integrity. The ability to independently update and redeploy the code base of one or more microservices increases applications' scalability, portability, updatability, and availability, but at the cost of expensive remote calls (instead of in-process calls) and increased overhead for cross-component synchronization.",10.1109/MCC.2016.112,Open Issues in Scheduling Microservices in the Cloud,11 November 2016,0
"With the increasing number and availability of smart devices, data sharing is offered within cloud-assisted IoT applications. The data are of little use if the smart devices do not share data with other devices. Data sharing at the edge allows smart devices to share data with lower latency and have fast data access and higher bandwidth. The next generation wireless communications technology (5G) will greatly depend on such solutions where massive IoT smart devices are interconnected with high data rates at ultralow latency. Yi et al. evaluate a performance comparison of the cloud and edge/fog server in terms of latency and bandwidth.4 The results show that when using fog and cloud server, the latencies are 1.416 and 17.989 ms, respectively, and the uplink/downlink bandwidth for fog and cloud are 83.723/101.918 and 1.785/1.746 Mbps, respectively.",10.1109/MCC.2017.9,Secure Data Sharing and Searching at the Edge of Cloud-Assisted Internet of Things,15 March 2017,0
"The high maintenance costs of private datacenters and disaster-recovery requirements are causing cloud architectures to go distributed. Virtualization is expanding outside a single datacenter for compute, network, storage, and devices. Resource-specialized clouds are becoming federated, evolving from centralized to fully distributed infrastructures across heterogeneous resources-a cloud-of-clouds-and away from the datacenter to the edge.",10.1109/MCC.2016.110,User-Centric Security and Dependability in the Clouds-of-Clouds,11 November 2016,0
"Cloud computing is inherently rooted in virtualization technologies. Recently, new lightweight virtualization technologies such as containers have become increasingly popular and are nowadays an essential part of cloud offerings. Containers also tightly integrate into the host operating system, reducing the software overhead imposed by virtual machines (VMs).1 However, this tighter integration also increases the attack surface, raising security concerns.",10.1109/MCC.2016.100,To Docker or Not to Docker: A Security Perspective,11 November 2016,0
"Cloud computing assumes communication among participating components. The boundary between the collection of these components and the world of humans and devices has acquired a set of names that encompass different concepts, including fog computing (implying a highly diffuse, distributed cloud), edge computing (implying a clean boundary between connected and non-connected devices), and the Internet of Things (IoT), These concepts all assume a degree of connectedness that requires development of standards.",10.1109/MCC.2017.23,Standards at the Edge of the Cloud,26 April 2017,0
"As they age, many older adults have significant challenges in managing chronic health conditions and maintaining physical functions. early detection of health problems can help elders maintain good health and function by allowing timely health interventions. Traditional approaches of healthcare take place in medical centers or clinics, which require availability of transportation from the home. This is, however, a disadvantage for rural and sometimes suburban areas where travel distances can be very long. With emerging digital technology and multisensor techniques, new approaches for ongoing health assessment are emerging to realize enhanced living environments (ELEs) for eldercare.",10.1109/MCC.2017.46,Toward an ElderCare Living Lab for Sensor-Based Health Assessment and Physical Therapy,29 June 2017,0
"Various forms of public cloud providers and software as a service companies also offer a development platform as a service. In general, the public cloud has significant limitations when used to construct business applications. These limitations are challenging enough that the migration to the cloud will primarily consist of a private cloud infrastructure that bears little resemblance to the public cloud.",https://doi.org/10.1109/MIC.2010.136,Cloud Computing: The Limits of Public Clouds for Business Applications,1 November 2010,0
"Welcome to the inaugural Blue Skies column of IEEE's flagship cloud computing magazine. This column intends to provide an in-depth analysis of the most recent and influential research related to cloud technologies and innovations, focusing on streaming big data processing in datacenter clouds.",10.1109/MCC.2014.22,Streaming Big Data Processing in Datacenter Clouds,10 July 2014,0
The increasing power and complexity of modern HPC systems as exemplified by those involved in drive to build exascale class machines.,https://doi.org/10.1109/CLOUD.2017.120,"Conceptualizing a Computing Platform for Science Beyond 2020: To Cloudify HPC, or HPCify Clouds?",11 September 2017,0
"Node-based availability. A cloud provider guarantees that individual nodes are available, such as individual virtual servers, middle-ware components, or hosted application components.",https://doi.org/10.1109/MIC.2014.101,Your Coffee Shop Uses Cloud Computing,28 August 2014,0
"The cloud relies on virtualization techniques to achieve elasticity of large-scale shared resources. Virtual machines (VMs) have been the backbone at the infrastructure layer providing virtualized operating systems (OSs). Containers are a similar but more lightweight virtualization concept; they're less resource and time-consuming, thus they've been suggested as a solution for more interoperable application packaging in the cloud.",10.1109/MCC.2015.51,Containerization and the PaaS Cloud,15 July 2015,0
"The data stored in the cloud can be accessed and manipulated by using only a password. So, the attacker can at any time track our account and modify the sensitive data which becomes unworthy.",https://doi.org/10.1109/ICIPTM54933.2022.9753956,Scalable and Adaptable End-To-End Collection and Analysis of Cloud Computing Security Data: Towards End-To-End Security in Cloud Computing Systems,18 April 2022,0
"In order to deal with these challenges, many have suggested the notion of off-chain storage of data, where data is kept outside of blockchain in a conventional or a distributed database, but the hashes of the data are stored in the blockchain. This is said to be the best of both worlds, as healthcare data is stored off-chain and may be secured, corrected, and erased as appropriate. At the same time, immutable hashes of the healthcare data are stored on-chain for checking the authenticity and accuracy of the off-chain medical records.",10.1109/MCC.2018.011791712,Blockchain: A Panacea for Healthcare Cloud-Based Data Security and Privacy?,28 March 2018,0
In case of cloud computing the aspect of security is take care of with the help of keys. Therefore key of resources and data related to privacy are very important for use of the cloud by the user.,https://doi.org/10.1109/ICIPTM54933.2022.9753956,Scalable and Adaptable End-To-End Collection and Analysis of Cloud Computing Security Data: Towards End-To-End Security in Cloud Computing Systems,18 April 2022,0
"The economics of computing in general and clouds in particular are complex, nuanced, and multi-dimensional. One can select solutions based on unit cost; total cost; revenue; profit; availability; time to market; time to value; flexibility and agility to respond to shifting market, customer, and competitive conditions; support for innovation; corporate strategy alignment; reciprocity; and more. These are just the rational factors. In addition, people often make decisions based on unique human quirks: cognitive biases and anomalies, heuristics, and other behavioral economic and human motivational factors. Adding to the decision-making challenge is the stochastic behavior of complex systems including computing resources and customer demand,3 and selecting a valid planning / financial horizon.",10.1109/MCC.2017.13,The Economics of the Hybrid Multicloud Fog,15 March 2017,0
"Amazon's commitment model is similar to the approach taken in Bhargava and Sundaresan (above). An interesting commitment model recently introduced are spot instances which provide an auction for cloud resources, which relates to the work of Martin et al [9].",https://doi.org/10.1109/CloudCom.2013.139,Pricing Intelligence as a Service for Cloud Computing,6 March 2014,0
"Given the limitations of existing SDN technology, building a RAN virtualization is difficult. Because SDNs adopt forwarding rules as the basic control unit to manage network traffic, the number of rules increases dramatically after network virtualization.6 If the rule space isn't large enough for processing new packets, network devices must communicate to the controller, which leads to much longer latency than direct processing.7 Although the additional latency has little influence on the overall performance, it will harm the quality of service (QoS), especially for some latency-sensitive applications (such as voice over IP and cloud gaming). Thus, in our RAN virtualization framework, we seek to both assign limited rule space to maximize the number of SIoT group vRANs and to satisfy the latency requirement. We also propose an efficient allocation algorithm, which we evaluate through simulation.",10.1109/MCC.2015.114,Radio Access Network Virtualization for the Social Internet of Things,2 February 2016,0
"The data collection has to address the main challenges overbooking, hardware independence and application specific metrics.",https://doi.org/10.1109/CLOUD.2018.00093,Reviewing Cloud Monitoring: Towards Cloud Resource Profiling,11 September 2018,0
"The increasing use and sophistication of commercial and open cloud infrastructure (that can be used as IaaS, PaaS, SaaS, FaaS etc.)",https://doi.org/10.1109/CLOUD.2017.120,"Conceptualizing a Computing Platform for Science Beyond 2020: To Cloudify HPC, or HPCify Clouds?",11 September 2017,0
IT resources with a utilization that grows or shrinks constantly over time experience continuously changing workload.,https://doi.org/10.1109/MIC.2014.101,Your Coffee Shop Uses Cloud Computing,28 August 2014,0
Elastic queue. The number of accesses via messaging lets the application adjust the number of required application component instances.,https://doi.org/10.1109/MIC.2014.101,Your Coffee Shop Uses Cloud Computing,28 August 2014,0
"Cloud computing provides a means to store user's sensitive data on cloud servers available in diverse insecure domains. It is necessary to understand and address different security issues in cloud environment, in order to keep the users data confidential and protect it against any unauthorized access in cloud environment. The important aspects of cloud security include proper authentication, strong encryption technique, and prevention of data loss.",https://doi.org/10.1109/I-SMAC47947.2019.9032545,"A Survey of Cloud Computing Security Challenges, Issues and their Countermeasures",12 March 2020,0
"As IT delivery methods meet the demand for the use of cloud services, communicative devices and employee-owned devices, new software vulnerabilities will be introduced, and financially motivated attackers will develop innovative attack paths.",https://doi.org/10.1109/CSA.2013.166,Mobile Sensor Cloud Computing: Controlling and Securing Data Processing over Smart Environment through Mobile Sensor Cloud Computing (MSCC),19 June 2014,0
Sensor Capture Viewing Each sensor support package will implement an Android Activity that will provide an interface to view a sample capture from the specific sensor.,https://doi.org/10.1109/CSA.2013.166,Mobile Sensor Cloud Computing: Controlling and Securing Data Processing over Smart Environment through Mobile Sensor Cloud Computing (MSCC),19 June 2014,0
"Also, it is able to manage unpredictable request patterns to scale resources according to change in resource requirement. This platform is estimating the required amount of resources correctly and providing the additional resources for SLA violations in the transient time.",https://doi.org/10.1109/ICPCSI.2017.8391816,The role of cloud computing infrastructure elasticity in energy efficient management of datacenters,21 June 2018,0
"The above examples demonstrate the rise of big data applications, in which data has grown unre-strainedly. Conventional data processing technologies are now unable to process this data within a tolerable elapsed time. Such applications generate datasets that don't fit the data processing model frameworks of traditional relational databases (such as Oracle, MySQL, and DB2) and data mining (such as Microsoft Excel, Matlab, and R). Relational databases operate on archived data in response to queries such as “commit a credit card transaction” (as in e-commerce). That is, the data processing technologies are designed to maintain an efficient and fault-tolerant collection of data that's accessed and aggregated only when users issue a query or transaction request (and thus the data must be archived prior to processing).",10.1109/MCC.2014.22,Streaming Big Data Processing in Datacenter Clouds,10 July 2014,0
"WSN's is a specific technology that helps to create Smart space (smart cities, smart grid, smart building, etc.) [3], [15]. The aim is to create a distributed network of intelligent sensor nodes, which can measure many parameters for a more efficient management of the city.",https://doi.org/10.1109/CSA.2013.166,Mobile Sensor Cloud Computing: Controlling and Securing Data Processing over Smart Environment through Mobile Sensor Cloud Computing (MSCC),19 June 2014,0
"By the study of the past papers it is been concluded that we have discussed about the Green Cloud computing, energy saving measures, cloud computing and its harmful effects on the nature because the use of IT resources inefficiently. We also discussed about PUE, DCiE methods, GCA architecture and reviewed the Consolidation methods of servers.",https://doi.org/10.1109/ICICICT54557.2022.9917654,Energy Savings using Green Cloud Computing,18 October 2022,0
"The combination of new vulnerabilities and more targeted attacks will lead to continued growth in bottom -line financial impact because of successful cyber-attacks. Cyber-attacks against mobile platforms, especially smartphones, grew in 2010 and continuing with the subsequent years according to the recent Threat Quarterly Report published by the Threat IT Labs.",https://doi.org/10.1109/CSA.2013.166,Mobile Sensor Cloud Computing: Controlling and Securing Data Processing over Smart Environment through Mobile Sensor Cloud Computing (MSCC),19 June 2014,0
The increasing functionality and use of Big Data software systems in conjunction with HPC.,https://doi.org/10.1109/CLOUD.2017.120,"Conceptualizing a Computing Platform for Science Beyond 2020: To Cloudify HPC, or HPCify Clouds?",11 September 2017,0
"Depending on the size of a data centre, one or many servers are required in addition only for hosting the monitoring infrastructure.",https://doi.org/10.1109/CLOUD.2018.00093,Reviewing Cloud Monitoring: Towards Cloud Resource Profiling,11 September 2018,0
"In the coffee shop, the user group generates periodic workload: peaks occur in the morning when customers start their day, and in the afternoon when school is out. Because the coffee shop in our example has only one user group, all components experience this workload.",https://doi.org/10.1109/MIC.2014.101,Your Coffee Shop Uses Cloud Computing,28 August 2014,0
"V-BOINC sends these lightweight VirtualBox virtual machines from a V-BOINC Server to volunteer BOINC hosts when instructed by the host's installed modified BOINC client, called the V-BOINC Client. A regular BOINC client within the virtual machine is used to download a BOINC project's task.",https://doi.org/10.1109/CLOUD.2015.153,Ad Hoc Cloud Computing,20 August 2015,0
"After cloud computing have been adopted it is necessary to ensure optimal cost of resources/infrastructure. Review on power usage and the security issues associated with cloud computing will help in creating trust of cloud services to cloud users. In addition, optimization of cloud services will lower operation expenses of ICT facilities in higher learning institutions. This can be done through activities such as architectural reviews, security audit, Cost reduction exercises, process improvement, and tool customization [6], [5]",https://doi.org/10.1109/SCAT.2014.7055151,Road map towards eco-efficient cloud computing adoption in higher learning institutions in Tanzania,5 March 2015,0
